second,Volt
+156.000E-06,+10.911718845E+00
+158.000E-06,+10.970312595E+00
+160.000E-06,+11.025000095E+00
+162.000E-06,+11.087500095E+00
+164.000E-06,+11.138281345E+00
+166.000E-06,+11.192968845E+00
+168.000E-06,+11.243750095E+00
+170.000E-06,+11.302343845E+00
+172.000E-06,+11.357031345E+00
+174.000E-06,+11.407812595E+00
+176.000E-06,+11.458593845E+00
+178.000E-06,+11.513281345E+00
+180.000E-06,+11.560156345E+00
+182.000E-06,+11.618750095E+00
+184.000E-06,+11.673437595E+00
+186.000E-06,+11.724218845E+00
+188.000E-06,+11.771093845E+00
+190.000E-06,+11.817968845E+00
+192.000E-06,+11.872656345E+00
+194.000E-06,+11.923437595E+00
+196.000E-06,+11.966406345E+00
+198.000E-06,+12.017187595E+00
+200.000E-06,+12.060156345E+00
+202.000E-06,+12.107031345E+00
+204.000E-06,+12.161718845E+00
+206.000E-06,+12.204687595E+00
+208.000E-06,+12.255468845E+00
+210.000E-06,+12.298437595E+00
+212.000E-06,+12.341406345E+00
+214.000E-06,+12.380468845E+00
+216.000E-06,+12.419531345E+00
+218.000E-06,+12.462500095E+00
+220.000E-06,+12.505468845E+00
+222.000E-06,+12.544531345E+00
+224.000E-06,+12.587500095E+00
+226.000E-06,+12.626562595E+00
+228.000E-06,+12.669531345E+00
+230.000E-06,+12.708593845E+00
+232.000E-06,+12.747656345E+00
+234.000E-06,+12.790625095E+00
+236.000E-06,+12.825781345E+00
+238.000E-06,+12.857031345E+00
+240.000E-06,+12.896093845E+00
+242.000E-06,+12.935156345E+00
+244.000E-06,+12.970312595E+00
+246.000E-06,+13.005468845E+00
+248.000E-06,+13.044531345E+00
+250.000E-06,+13.079687595E+00
+252.000E-06,+13.118750095E+00
+254.000E-06,+13.146093845E+00
+256.000E-06,+13.181250095E+00
+258.000E-06,+13.212500095E+00
+260.000E-06,+13.243750095E+00
+262.000E-06,+13.282812595E+00
+264.000E-06,+13.310156345E+00
+266.000E-06,+13.341406345E+00
+268.000E-06,+13.376562595E+00
+270.000E-06,+13.396093845E+00
+272.000E-06,+13.427343845E+00
+274.000E-06,+13.454687595E+00
+276.000E-06,+13.478125095E+00
+278.000E-06,+13.501562595E+00
+280.000E-06,+13.528906345E+00
+282.000E-06,+13.552343845E+00
+284.000E-06,+13.579687595E+00
+286.000E-06,+13.599218845E+00
+288.000E-06,+13.626562595E+00
+290.000E-06,+13.646093845E+00
+292.000E-06,+13.669531345E+00
+294.000E-06,+13.689062595E+00
+296.000E-06,+13.712500095E+00
+298.000E-06,+13.732031345E+00
+300.000E-06,+13.743750095E+00
+302.000E-06,+13.771093845E+00
+304.000E-06,+13.790625095E+00
+306.000E-06,+13.810156345E+00
+308.000E-06,+13.825781345E+00
+310.000E-06,+13.841406345E+00
+312.000E-06,+13.857031345E+00
+314.000E-06,+13.872656345E+00
+316.000E-06,+13.888281345E+00
+318.000E-06,+13.896093845E+00
+320.000E-06,+13.911718845E+00
+322.000E-06,+13.923437595E+00
+324.000E-06,+13.935156345E+00
+326.000E-06,+13.942968845E+00
+328.000E-06,+13.958593845E+00
+330.000E-06,+13.966406345E+00
+332.000E-06,+13.978125095E+00
+334.000E-06,+13.985937595E+00
+336.000E-06,+13.997656345E+00
+338.000E-06,+13.997656345E+00
+340.000E-06,+14.005468845E+00
+342.000E-06,+14.013281345E+00
+344.000E-06,+14.021093845E+00
+346.000E-06,+14.021093845E+00
+348.000E-06,+14.028906345E+00
+350.000E-06,+14.032812595E+00
+352.000E-06,+14.032812595E+00
+354.000E-06,+14.040625095E+00
+356.000E-06,+14.040625095E+00
+358.000E-06,+14.040625095E+00
+360.000E-06,+14.044531345E+00
+362.000E-06,+14.044531345E+00
+364.000E-06,+14.044531345E+00
+366.000E-06,+14.040625095E+00
+368.000E-06,+14.048437595E+00
+370.000E-06,+14.036718845E+00
+372.000E-06,+14.036718845E+00
+374.000E-06,+14.028906345E+00
+376.000E-06,+14.028906345E+00
+378.000E-06,+14.017187595E+00
+380.000E-06,+14.013281345E+00
+382.000E-06,+13.997656345E+00
+384.000E-06,+13.997656345E+00
+386.000E-06,+13.989843845E+00
+388.000E-06,+13.978125095E+00
+390.000E-06,+13.970312595E+00
+392.000E-06,+13.962500095E+00
+394.000E-06,+13.954687595E+00
+396.000E-06,+13.939062595E+00
+398.000E-06,+13.927343845E+00
+400.000E-06,+13.919531345E+00
+402.000E-06,+13.903906345E+00
+404.000E-06,+13.888281345E+00
+406.000E-06,+13.876562595E+00
+408.000E-06,+13.857031345E+00
+410.000E-06,+13.845312595E+00
+412.000E-06,+13.833593845E+00
+414.000E-06,+13.814062595E+00
+416.000E-06,+13.794531345E+00
+418.000E-06,+13.771093845E+00
+420.000E-06,+13.755468845E+00
+422.000E-06,+13.735937595E+00
+424.000E-06,+13.716406345E+00
+426.000E-06,+13.692968845E+00
+428.000E-06,+13.673437595E+00
+430.000E-06,+13.653906345E+00
+432.000E-06,+13.634375095E+00
+434.000E-06,+13.607031345E+00
+436.000E-06,+13.587500095E+00
+438.000E-06,+13.560156345E+00
+440.000E-06,+13.536718845E+00
+442.000E-06,+13.513281345E+00
+444.000E-06,+13.489843845E+00
+446.000E-06,+13.458593845E+00
+448.000E-06,+13.435156345E+00
+450.000E-06,+13.400000095E+00
+452.000E-06,+13.372656345E+00
+454.000E-06,+13.345312595E+00
+456.000E-06,+13.317968845E+00
+458.000E-06,+13.282812595E+00
+460.000E-06,+13.247656345E+00
+462.000E-06,+13.220312595E+00
+464.000E-06,+13.185156345E+00
+466.000E-06,+13.153906345E+00
+468.000E-06,+13.118750095E+00
+470.000E-06,+13.083593845E+00
+472.000E-06,+13.048437595E+00
+474.000E-06,+13.013281345E+00
+476.000E-06,+12.970312595E+00
+478.000E-06,+12.931250095E+00
+480.000E-06,+12.900000095E+00
+482.000E-06,+12.864843845E+00
+484.000E-06,+12.825781345E+00
+486.000E-06,+12.790625095E+00
+488.000E-06,+12.755468845E+00
+490.000E-06,+12.716406345E+00
+492.000E-06,+12.673437595E+00
+494.000E-06,+12.634375095E+00
+496.000E-06,+12.591406345E+00
+498.000E-06,+12.548437595E+00
+500.000E-06,+12.509375095E+00
+502.000E-06,+12.462500095E+00
+504.000E-06,+12.423437595E+00
+506.000E-06,+12.384375095E+00
+508.000E-06,+12.345312595E+00
+510.000E-06,+12.298437595E+00
+512.000E-06,+12.259375095E+00
+514.000E-06,+12.208593845E+00
+516.000E-06,+12.157812595E+00
+518.000E-06,+12.103125095E+00
+520.000E-06,+12.064062595E+00
+522.000E-06,+12.021093845E+00
+524.000E-06,+11.970312595E+00
+526.000E-06,+11.915625095E+00
+528.000E-06,+11.872656345E+00
+530.000E-06,+11.821875095E+00
+532.000E-06,+11.775000095E+00
+534.000E-06,+11.724218845E+00
+536.000E-06,+11.673437595E+00
+538.000E-06,+11.618750095E+00
+540.000E-06,+11.560156345E+00
+542.000E-06,+11.509375095E+00
+544.000E-06,+11.458593845E+00
+546.000E-06,+11.403906345E+00
+548.000E-06,+11.357031345E+00
+550.000E-06,+11.298437595E+00
+552.000E-06,+11.239843845E+00
+554.000E-06,+11.189062595E+00
+556.000E-06,+11.134375095E+00
+558.000E-06,+11.079687595E+00
+560.000E-06,+11.025000095E+00
+562.000E-06,+10.962500095E+00
+564.000E-06,+10.911718845E+00
+566.000E-06,+10.853125095E+00
+568.000E-06,+10.798437595E+00
+570.000E-06,+10.743750095E+00
+572.000E-06,+10.689062595E+00
+574.000E-06,+10.626562595E+00
+576.000E-06,+10.567968845E+00
+578.000E-06,+10.505468845E+00
+580.000E-06,+10.458593845E+00
+582.000E-06,+10.400000095E+00
+584.000E-06,+10.345312595E+00
+586.000E-06,+10.286718845E+00
+588.000E-06,+10.216406345E+00
+590.000E-06,+10.165625095E+00
+592.000E-06,+10.107031345E+00
+594.000E-06,+10.040625095E+00
+596.000E-06,+9.982031345E+00
+598.000E-06,+9.919531345E+00
+600.000E-06,+9.857031345E+00
+602.000E-06,+9.798437595E+00
+604.000E-06,+9.735937595E+00
+606.000E-06,+9.665625095E+00
+608.000E-06,+9.607031345E+00
+610.000E-06,+9.540625095E+00
+612.000E-06,+9.470312595E+00
+614.000E-06,+9.411718845E+00
+616.000E-06,+9.345312595E+00
+618.000E-06,+9.278906345E+00
+620.000E-06,+9.212500095E+00
+622.000E-06,+9.142187595E+00
+624.000E-06,+9.075781345E+00
+626.000E-06,+9.021093845E+00
+628.000E-06,+8.958593845E+00
