second,Volt,Volt2
-171.001E-06,+2.402632543E+00,+263.750004E-03
-170.001E-06,+2.557368270E+00,+257.505317E-03
-169.001E-06,+2.557500020E+00,+263.744723E-03
-168.001E-06,+2.557500020E+00,+269.994754E-03
-167.001E-06,+2.557500020E+00,+263.755223E-03
-166.001E-06,+2.557500020E+00,+263.750004E-03
-165.001E-06,+2.557500020E+00,+263.750004E-03
-164.001E-06,+2.402627118E+00,+269.994879E-03
-163.001E-06,+2.557373695E+00,+263.755098E-03
-162.001E-06,+2.402625568E+00,+263.750004E-03
-161.001E-06,+2.557375245E+00,+263.750004E-03
-160.001E-06,+2.712376021E+00,+263.750004E-03
-159.001E-06,+2.402746468E+00,+257.504973E-03
-158.001E-06,+2.402500018E+00,+263.745067E-03
-157.001E-06,+2.557378345E+00,+257.504910E-03
-156.001E-06,+2.402620918E+00,+263.745129E-03
-155.001E-06,+2.557379895E+00,+263.750004E-03
-154.001E-06,+2.712380671E+00,+263.750004E-03
-153.001E-06,+2.557618595E+00,+257.504785E-03
-152.001E-06,+2.557500020E+00,+263.745254E-03
-151.001E-06,+2.402617043E+00,+263.750004E-03
-150.001E-06,+2.557383770E+00,+263.750004E-03
-149.001E-06,+2.557500020E+00,+263.750004E-03
-148.001E-06,+2.557500020E+00,+263.750004E-03
-147.001E-06,+2.557500020E+00,+263.750004E-03
-146.001E-06,+2.557500020E+00,+257.504567E-03
-145.001E-06,+2.557500020E+00,+257.500004E-03
-144.001E-06,+2.557500020E+00,+257.500004E-03
-143.001E-06,+2.402610843E+00,+257.500004E-03
-142.001E-06,+2.402500018E+00,+263.745567E-03
-141.001E-06,+2.402500018E+00,+257.504410E-03
-140.001E-06,+2.557391520E+00,+263.745629E-03
-139.001E-06,+2.402607743E+00,+257.504348E-03
-138.001E-06,+2.402500018E+00,+257.500004E-03
-137.001E-06,+2.402500018E+00,+263.745723E-03
-136.001E-06,+2.557394620E+00,+263.750004E-03
-135.001E-06,+2.557500020E+00,+257.504223E-03
-134.001E-06,+2.557500020E+00,+257.500004E-03
-133.001E-06,+2.402603093E+00,+263.745848E-03
-132.001E-06,+2.402500018E+00,+257.504129E-03
-131.001E-06,+2.557398495E+00,+257.500004E-03
-130.001E-06,+2.557500020E+00,+257.500004E-03
-129.001E-06,+2.402599993E+00,+257.500004E-03
-128.001E-06,+2.402500018E+00,+263.746004E-03
-127.001E-06,+2.557401595E+00,+263.750004E-03
